Frame: 48, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 49, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 50, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 51, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 52, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 53, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 4, 'Extra Large': 5, 'Undefined': 0}
Frame: 54, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 5, 'Extra Large': 5, 'Undefined': 0}
Frame: 55, Time: 00:00:08, Labels: {'Small': 0, 'Medium': 0, 'Large': 5, 'Extra Large': 5, 'Undefined': 0}
Frame: 56, Time: 00:00:09, Labels: {'Small': 0, 'Medium': 0, 'Large': 5, 'Extra Large': 5, 'Undefined': 0}
Frame: 57, Time: 00:00:09, Labels: {'Small': 0, 'Medium': 0, 'Large': 5, 'Extra Large': 5, 'Undefined': 0}
Frame: 58, Time: 00:00:09, Labels: {'Small': 0, 'Medium': 0, 'Large': 5, 'Extra Large': 5, 'Undefined': 0}
Frame: 59, Time: 00:00:09, Labels: {'Small': 0, 'Medium': 0, 'Large': 5, 'Extra Large': 6, 'Undefined': 0}
Frame: 60, Time: 00:00:09, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 6, 'Undefined': 0}
Frame: 61, Time: 00:00:09, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 62, Time: 00:00:09, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 63, Time: 00:00:09, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 64, Time: 00:00:10, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 65, Time: 00:00:10, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 66, Time: 00:00:10, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 67, Time: 00:00:10, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 68, Time: 00:00:10, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 69, Time: 00:00:10, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 70, Time: 00:00:10, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 71, Time: 00:00:10, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 72, Time: 00:00:11, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 7, 'Undefined': 0}
Frame: 73, Time: 00:00:11, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 8, 'Undefined': 0}
Frame: 74, Time: 00:00:11, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 8, 'Undefined': 0}
Frame: 75, Time: 00:00:11, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 8, 'Undefined': 0}
Frame: 76, Time: 00:00:11, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 8, 'Undefined': 0}
Frame: 77, Time: 00:00:11, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 9, 'Undefined': 0}
Frame: 78, Time: 00:00:11, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 79, Time: 00:00:11, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 80, Time: 00:00:12, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 81, Time: 00:00:12, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 82, Time: 00:00:12, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 83, Time: 00:00:12, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 84, Time: 00:00:12, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 85, Time: 00:00:12, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 86, Time: 00:00:12, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 87, Time: 00:00:13, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 88, Time: 00:00:13, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 89, Time: 00:00:13, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 90, Time: 00:00:13, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 91, Time: 00:00:13, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 92, Time: 00:00:13, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 10, 'Undefined': 0}
Frame: 93, Time: 00:00:13, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 11, 'Undefined': 0}
Frame: 94, Time: 00:00:14, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 12, 'Undefined': 0}
Frame: 95, Time: 00:00:14, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 12, 'Undefined': 0}
Frame: 96, Time: 00:00:14, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 12, 'Undefined': 0}
Frame: 97, Time: 00:00:14, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 12, 'Undefined': 0}
Frame: 98, Time: 00:00:14, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 12, 'Undefined': 0}
Frame: 99, Time: 00:00:14, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 12, 'Undefined': 0}
Frame: 100, Time: 00:00:14, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 12, 'Undefined': 0}
Frame: 101, Time: 00:00:15, Labels: {'Small': 0, 'Medium': 0, 'Large': 6, 'Extra Large': 12, 'Undefined': 0}
Frame: 102, Time: 00:00:15, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 12, 'Undefined': 0}
Frame: 103, Time: 00:00:15, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 12, 'Undefined': 0}
Frame: 104, Time: 00:00:15, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 12, 'Undefined': 0}
Frame: 105, Time: 00:00:15, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 13, 'Undefined': 0}
Frame: 106, Time: 00:00:15, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 107, Time: 00:00:15, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 108, Time: 00:00:16, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 109, Time: 00:00:16, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 110, Time: 00:00:16, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 111, Time: 00:00:16, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 112, Time: 00:00:16, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 113, Time: 00:00:16, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
Frame: 114, Time: 00:00:16, Labels: {'Small': 0, 'Medium': 0, 'Large': 7, 'Extra Large': 14, 'Undefined': 0}
